ID,Granja,Lote,Data,Cranial_Dir,Medio_Dir,Caudal_Dir,Acessorio,Cranial_Es,Medio_Es,Caudal_Es,Cicatrizacao,Pleurisia
120,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,1,Não,Não
42,Copagri,Pesagem,2026-07-14,1,2,0,1,0,1,0,Não,Não
49,Copagri,Pesagem,2026-07-14,0,2,0,0,0,1,0,Não,Não
38,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
135,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
82,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
162,Copagri,Pesagem,2026-07-14,1,2,0,0,1,2,1,Não,Não
52,Copagri,Pesagem,2026-07-14,0,2,1,0,1,2,0,Não,Não
155,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
89,Copagri,Pesagem,2026-07-14,1,1,0,1,1,1,0,Não,Não
101,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,1,Sim,Não
138,Copagri,Pesagem,2026-07-14,1,1,0,0,0,1,0,Não,Não
23,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
109,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
100,Copagri,Pesagem,2026-07-14,1,0,0,0,0,0,0,Não,Não
113,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Sim,Não
157,Copagri,Pesagem,2026-07-14,0,0,0,0,0,1,0,Não,Não
43,Copagri,Pesagem,2026-07-14,1,3,0,0,0,2,0,Não,Não
75,Copagri,Pesagem,2026-07-14,2,0,0,0,0,1,0,Não,Não
96,Copagri,Pesagem,2026-07-14,0,2,0,2,0,1,0,Não,Não
27,Copagri,Pesagem,2026-07-14,1,1,1,3,0,1,0,Não,Não
152,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
161,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
14,Copagri,Pesagem,2026-07-14,1,3,1,0,1,1,0,Não,Não
69,Copagri,Pesagem,2026-07-14,1,1,0,0,0,1,0,Não,Não
63,Copagri,Pesagem,2026-07-14,0,2,0,2,0,1,0,Não,Não
37,Copagri,Pesagem,2026-07-14,0,1,2,0,0,0,0,Sim,Não
29,Copagri,Pesagem,2026-07-14,0,1,0,2,0,1,0,Não,Não
102,Copagri,Pesagem,2026-07-14,1,2,1,0,1,1,1,Não,Não
88,Copagri,Pesagem,2026-07-14,2,2,0,1,1,2,0,Não,Não
142,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
12,Copagri,Pesagem,2026-07-14,3,0,3,0,0,1,0,Não,Não
148,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
15,Copagri,Pesagem,2026-07-14,2,3,1,3,1,2,1,Não,Não
22,Copagri,Pesagem,2026-07-14,0,0,1,0,0,1,0,Não,Não
1,Copagri,Pesagem,2026-07-14,1,0,0,0,1,0,1,Não,Não
58,Copagri,Pesagem,2026-07-14,3,0,0,4,0,1,0,Não,Não
18,Copagri,Pesagem,2026-07-14,1,2,1,0,1,1,0,Não,Não
130,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
159,Copagri,Pesagem,2026-07-14,1,1,0,0,0,1,0,Não,Não
151,Copagri,Pesagem,2026-07-14,0,1,0,0,0,1,0,Não,Não
98,Copagri,Pesagem,2026-07-14,1,1,0,0,0,0,0,Não,Não
6,Copagri,Pesagem,2026-07-14,1,1,0,4,0,1,0,Sim,Não
160,Copagri,Pesagem,2026-07-14,1,2,1,1,1,1,0,Não,Não
124,Copagri,Pesagem,2026-07-14,0,0,0,0,0,1,0,Não,Não
114,Copagri,Pesagem,2026-07-14,0,2,0,0,0,2,0,Não,Não
77,Copagri,Pesagem,2026-07-14,0,2,0,0,1,1,0,Não,Não
44,Copagri,Pesagem,2026-07-14,0,2,1,0,0,1,0,Não,Não
140,Copagri,Pesagem,2026-07-14,1,3,1,3,0,2,0,Não,Não
74,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,1,Não,Não
59,Copagri,Pesagem,2026-07-14,1,3,0,0,0,1,0,Não,Não
13,Copagri,Pesagem,2026-07-14,1,1,0,0,0,1,0,Não,Não
19,Copagri,Pesagem,2026-07-14,1,1,1,1,1,1,0,Não,Não
50,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
153,Copagri,Pesagem,2026-07-14,0,3,0,0,0,0,0,Não,Não
68,Copagri,Pesagem,2026-07-14,0,1,0,1,0,1,0,Não,Não
36,Copagri,Pesagem,2026-07-14,0,2,2,1,1,0,2,Não,Não
131,Copagri,Pesagem,2026-07-14,0,1,0,0,0,0,0,Não,Não
73,Copagri,Pesagem,2026-07-14,1,2,0,0,0,0,0,Não,Não
62,Copagri,Pesagem,2026-07-14,1,2,0,0,0,0,0,Não,Não
146,Copagri,Pesagem,2026-07-14,1,2,0,0,0,2,0,Não,Não
55,Copagri,Pesagem,2026-07-14,0,1,1,0,0,1,0,Não,Não
99,Copagri,Pesagem,2026-07-14,0,0,1,0,0,0,0,Não,Não
7,Copagri,Pesagem,2026-07-14,0,0,0,0,0,0,0,Não,Não
149,Copagri,Pesagem,2026-07-14,0,2,0,1,0,0,0,Não,Não
134,Copagri,Pesagem,2026-07-14,0,3,0,1,0,0,0,Não,Não
5,Copagri,Pesagem,2026-07-14,0,4,0,0,0,1,0,Não,Não
